customer_email,months_as_customer,order_count,days_since_last_order,churned
alice.johnson@email.com,24,12,15.0,0
bob.smith@email.com,18,8,22.0,0
carol.white@email.com,30,15,8.0,0
david.brown@email.com,12,6,28.0,0
emma.davis@email.com,36,20,12.0,0
frank.miller@email.com,15,9,35.0,0
grace.wilson@email.com,20,11,18.0,0
henry.moore@email.com,28,14,25.0,0
ivy.taylor@email.com,22,10,20.0,0
jack.anderson@email.com,16,7,30.0,0
kelly.thomas@email.com,25,8,45.0,0
liam.jackson@email.com,19,5,52.0,0
mia.white@email.com,32,10,68.0,0
noah.harris@email.com,14,4,75.0,0
olivia.martin@email.com,27,9,58.0,0
paul.thompson@email.com,21,6,62.0,0
quinn.garcia@email.com,17,5,70.0,0
rachel.martinez@email.com,13,4,80.0,0
samuel.robinson@email.com,29,11,65.0,0
tina.clark@email.com,23,7,72.0,0
uma.rodriguez@email.com,26,3,105.0,1
victor.lee@email.com,31,5,120.0,1
wendy.walker@email.com,18,2,135.0,1
xavier.hall@email.com,24,4,145.0,1
yara.allen@email.com,15,2,150.0,1
zack.young@email.com,20,3,160.0,1
amy.king@email.com,28,6,110.0,1
ben.wright@email.com,22,4,125.0,1
chloe.lopez@email.com,16,2,140.0,1
derek.hill@email.com,19,3,155.0,1
eva.scott@email.com,2,0,,1
fred.green@email.com,3,0,,1
gina.adams@email.com,1,0,,1
hugo.baker@email.com,4,0,,1
iris.nelson@email.com,2,0,,1
jake.carter@email.com,5,0,,1
kate.mitchell@email.com,3,0,,1
leo.perez@email.com,1,0,,1
maya.roberts@email.com,2,0,,1
nina.turner@email.com,6,0,,1
