customer_email,months_as_customer,order_count,days_since_last_order,churned
customer1@example.com,29,9,40,0
customer2@example.com,15,6,39,0
customer3@example.com,8,6,111,1
customer4@example.com,21,8,40,0
customer5@example.com,19,9,1,0
customer6@example.com,23,9,11,0
customer7@example.com,11,2,86,0
customer8@example.com,11,6,118,1
customer9@example.com,24,0,79,0
customer10@example.com,24,3,52,0
customer11@example.com,3,3,60,0
customer12@example.com,22,4,30,0
customer13@example.com,2,6,71,0
customer14@example.com,24,6,35,0
customer15@example.com,30,3,36,0
customer16@example.com,2,6,45,0
customer17@example.com,21,2,119,1
customer18@example.com,33,5,48,0
customer19@example.com,12,1,89,0
customer20@example.com,22,9,49,0
customer21@example.com,25,8,2,0
customer22@example.com,27,4,1,0
customer23@example.com,28,5,48,0
customer24@example.com,16,3,41,0
customer25@example.com,15,9,5,0
customer26@example.com,3,6,66,0
customer27@example.com,7,8,61,0
customer28@example.com,21,6,59,0
customer29@example.com,9,0,38,0
customer30@example.com,18,0,48,0
customer31@example.com,4,8,77,0
customer32@example.com,25,8,16,0
customer33@example.com,14,3,32,0
customer34@example.com,9,8,49,0
customer35@example.com,26,2,53,0
customer36@example.com,2,6,83,0
customer37@example.com,20,5,56,0
customer38@example.com,28,7,33,0
customer39@example.com,7,8,53,0
customer40@example.com,8,4,104,1
customer41@example.com,35,0,101,1
customer42@example.com,14,2,65,0
customer43@example.com,17,9,38,0
customer44@example.com,4,7,113,1
customer45@example.com,2,5,118,1
customer46@example.com,6,7,54,0
customer47@example.com,4,8,47,0
customer48@example.com,29,3,111,1
customer49@example.com,18,0,95,1
customer50@example.com,26,0,83,0
customer51@example.com,34,9,35,0
customer52@example.com,10,3,109,1
customer53@example.com,14,6,41,0
customer54@example.com,31,1,62,0
customer55@example.com,15,2,97,1
customer56@example.com,8,0,62,0
customer57@example.com,14,4,14,0
customer58@example.com,23,0,50,0
customer59@example.com,21,7,48,0
customer60@example.com,16,0,49,0
customer61@example.com,18,0,37,0
customer62@example.com,24,1,36,0
customer63@example.com,26,1,96,1
customer64@example.com,25,5,17,0
customer65@example.com,29,6,33,0
customer66@example.com,15,4,48,0
customer67@example.com,1,0,135,1
customer68@example.com,25,0,88,0
customer69@example.com,7,2,115,1
customer70@example.com,9,1,51,0
customer71@example.com,24,4,46,0
customer72@example.com,1,9,59,0
customer73@example.com,8,5,67,0
customer74@example.com,24,6,38,0
customer75@example.com,11,3,80,0
customer76@example.com,17,6,54,0
customer77@example.com,8,7,37,0
customer78@example.com,35,0,56,0
customer79@example.com,35,5,27,0
customer80@example.com,33,7,34,0
customer81@example.com,5,4,50,0
customer82@example.com,28,3,59,0
customer83@example.com,7,1,57,0
customer84@example.com,9,5,93,1
customer85@example.com,8,5,98,1
customer86@example.com,12,0,90,0
customer87@example.com,34,8,48,0
customer88@example.com,33,5,19,0
customer89@example.com,23,2,33,0
customer90@example.com,24,3,64,0
customer91@example.com,35,3,93,1
customer92@example.com,22,2,78,0
customer93@example.com,27,9,17,0
customer94@example.com,35,2,73,0
customer95@example.com,1,2,59,0
customer96@example.com,35,3,75,0
customer97@example.com,14,6,53,0
customer98@example.com,3,3,35,0
customer99@example.com,1,8,66,0
customer100@example.com,5,0,83,0
